GPS TOW (s),GPS Week,Latitude (deg),Longitude (deg),Ellipsoid Height (m),ECEF X (m),ECEF Y (m),ECEF Z (m),Roll (deg),Pitch (deg),Heading (deg),East Velocity (m/s),North Velocity (m/s),Up Velocity (m/s)
349740,2267,35.68341276,139.76526356,41.818,-3959475.227,3350132.869,3699740.607,-1.342,0.262,194.665,0.001,0.003,-0.001
349741,2267,35.68341275,139.76526356,41.817,-3959475.226,3350132.868,3699740.606,-1.341,0.28,194.667,-0.006,-0.015,-0.016
349742,2267,35.68340961,139.76526256,41.81,-3959475.319,3350133.065,3699740.319,-1.334,0.59,194.664,-0.238,-0.932,0
349743,2267,35.68339398,139.76525755,41.803,-3959475.794,3350134.061,3699738.906,-1.394,0.679,194.877,-0.671,-2.491,-0.017
349744,2267,35.68336498,139.76524801,41.801,-3959476.668,3350135.932,3699736.291,-1.417,0.755,195.318,-1.033,-3.828,0.001
349745,2267,35.68332599,139.76523482,41.81,-3959477.828,3350138.478,3699732.783,-1.327,0.722,195.674,-1.34,-4.841,0.02
349746,2267,35.68327931,139.76521879,41.806,-3959479.195,3350141.535,3699728.574,-1.293,0.695,195.613,-1.557,-5.581,-0.003
349747,2267,35.683225,139.76520041,41.809,-3959480.805,3350145.077,3699723.681,-1.117,0.333,194.917,-1.718,-6.501,-0.001
349748,2267,35.68316289,139.7651814,41.786,-3959482.748,3350148.975,3699718.07,-1.906,0.201,193.377,-1.738,-7.26,-0.042
349749,2267,35.68309488,139.76516289,41.756,-3959485.007,3350153.082,3699711.923,-1.214,0.528,191.189,-1.535,-7.803,-0.022
349750,2267,35.68302468,139.7651471,41.802,-3959487.581,3350157.131,3699705.623,-1.568,0.772,189.849,-1.321,-7.732,0.017
349751,2267,35.68295569,139.76513306,41.835,-3959490.189,3350161.003,3699699.425,-1.401,0.666,189.043,-1.251,-7.575,0.037
349752,2267,35.68288825,139.76511968,41.854,-3959492.751,3350164.757,3699693.358,-0.947,0.86,189.869,-1.28,-7.402,0.032
349753,2267,35.6828197,139.76510271,41.85,-3959495.143,3350168.793,3699687.178,-0.484,0.169,192.833,-1.756,-7.801,-0.111
349754,2267,35.68274642,139.76508121,41.765,-3959497.453,3350173.298,3699680.524,-1.013,0.269,194.309,-2.072,-8.359,-0.154
349755,2267,35.68266817,139.76505637,41.729,-3959499.845,3350178.267,3699673.451,-1.317,0.256,194.837,-2.343,-9.005,0.053
349756,2267,35.68258523,139.76502935,41.708,-3959502.35,3350183.59,3699665.964,-1.417,0.312,194.893,-2.482,-9.434,-0.045
349757,2267,35.68249973,139.76500172,41.685,-3959504.944,3350189.061,3699658.245,-1.346,0.32,194.634,-2.475,-9.47,0.018
349758,2267,35.68241712,139.76497547,41.656,-3959507.473,3350194.314,3699650.783,-1.326,0.33,194.614,-2.318,-8.858,-0.049
349759,2267,35.68234027,139.76495092,41.635,-3959509.821,3350199.212,3699643.844,-1.248,0.184,194.696,-2.147,-8.161,-0.102
349760,2267,35.68226831,139.76492787,41.608,-3959512.012,3350203.799,3699637.343,-1.418,0.248,194.788,-2.019,-7.788,0.016
349761,2267,35.68220026,139.76490573,41.591,-3959514.069,3350208.165,3699631.201,-0.98,0.425,194.992,-1.988,-7.455,-0.012
349762,2267,35.68213293,139.76488382,41.563,-3959516.097,3350212.479,3699625.116,-1.515,0.316,195.33,-2.059,-7.433,-0.051
349763,2267,35.68206638,139.76486085,41.543,-3959518.029,3350216.837,3699619.107,-1.602,0.385,196.577,-2.158,-7.344,0.001
349764,2267,35.68200076,139.76483655,41.522,-3959519.837,3350221.249,3699613.181,-1.566,0.551,197.309,-2.247,-7.316,-0.038
349765,2267,35.68193397,139.76481082,41.526,-3959521.635,3350225.821,3699607.164,-1.215,0.407,197.64,-2.321,-7.412,-0.022
349766,2267,35.6818652,139.76478356,41.537,-3959523.445,3350230.585,3699600.972,-1.297,0.72,198.561,-2.662,-7.953,0.005
349767,2267,35.68179177,139.76475301,41.538,-3959525.288,3350235.767,3699594.355,-1.075,0.686,199.093,-2.849,-8.288,0.003
349768,2267,35.68171602,139.76472093,41.55,-3959527.162,3350241.157,3699587.535,-1.298,0.707,199.335,-2.987,-8.547,-0.033
349769,2267,35.68163734,139.76468711,41.559,-3959529.077,3350246.788,3699580.449,-1.369,0.606,199.558,-3.161,-8.88,-0.017
349770,2267,35.68155576,139.76465159,41.547,-3959531.023,3350252.646,3699573.09,-0.949,0.542,199.351,-3.266,-9.231,0.015
349771,2267,35.68147072,139.76461599,41.535,-3959533.135,3350258.655,3699565.419,-0.646,0.417,198.004,-3.145,-9.667,-0.021
349772,2267,35.68138137,139.76458227,41.521,-3959535.569,3350264.713,3699557.358,-0.892,0.151,196.184,-2.932,-10.125,-0.012
349773,2267,35.68128816,139.7645505,41.483,-3959538.293,3350270.785,3699548.935,-1.228,0.359,195.16,-2.829,-10.525,-0.035
349774,2267,35.68119188,139.764519,41.466,-3959541.197,3350276.978,3699540.248,-1.379,0.502,194.767,-2.864,-10.851,0.006
349775,2267,35.68109343,139.76448689,41.438,-3959544.166,3350283.297,3699531.359,-1.129,0.479,194.994,-2.935,-10.986,0.006
349776,2267,35.68099536,139.7644546,41.426,-3959547.116,3350289.622,3699522.513,-1.126,0.409,194.999,-2.868,-10.719,-0.008
349777,2267,35.6809008,139.76442376,41.411,-3959549.975,3350295.698,3699513.982,-1.375,0.265,194.821,-2.705,-10.272,-0.013
349778,2267,35.68081008,139.7643945,41.399,-3959552.738,3350301.506,3699505.799,-1.481,0.518,194.662,-2.607,-9.957,-0.019
349779,2267,35.68072052,139.76436613,41.398,-3959555.503,3350307.21,3699497.727,-1.35,0.46,194.074,-2.449,-9.928,0.027
349780,2267,35.68063149,139.76433941,41.392,-3959558.335,3350312.775,3699489.699,-1.076,0.549,193.348,-2.348,-9.828,0.019
349781,2267,35.68054411,139.76431373,41.413,-3959561.164,3350318.214,3699481.837,-0.889,0.529,193.989,-2.404,-9.545,0.011
349782,2267,35.68045857,139.76428613,41.429,-3959563.786,3350323.705,3699474.136,-0.564,0.317,195.287,-2.567,-9.49,-0.031
349783,2267,35.6803729,139.76425726,41.363,-3959566.289,3350329.247,3699466.377,-2.25,0.026,196.076,-2.619,-9.427,-0.105
349784,2267,35.6802866,139.76422516,41.347,-3959568.666,3350335.064,3699458.59,-2.267,0.561,197.599,-3.097,-9.765,0.035
349785,2267,35.68019675,139.76419069,41.38,-3959571.109,3350341.22,3699450.511,-1.663,0.211,196.708,-3.001,-10.103,-0.043
349786,2267,35.6801046,139.76415721,41.372,-3959573.699,3350347.381,3699442.201,-1.342,0.704,196.155,-3.025,-10.347,0.034
349787,2267,35.68001024,139.76412421,41.39,-3959576.442,3350353.616,3699433.707,-1.261,0.722,195.626,-2.989,-10.652,0.049
349788,2267,35.67991416,139.7640913,41.348,-3959579.238,3350359.884,3699425.024,-1.093,0.179,195.185,-2.946,-10.655,-0.12
349789,2267,35.67981738,139.76405969,41.308,-3959582.146,3350366.093,3699416.278,-1.345,0.06,194.614,-2.823,-10.724,-0.068
349790,2267,35.67972058,139.76402926,41.26,-3959585.119,3350372.217,3699407.526,-1.168,0.238,194.128,-2.732,-10.774,0.003
349791,2267,35.67962368,139.76399933,41.232,-3959588.139,3350378.322,3699398.776,-1.665,0.373,194.309,-2.732,-10.77,-0.013
349792,2267,35.67952661,139.76396868,41.21,-3959591.128,3350384.486,3699390.015,-2.01,0.592,194.719,-2.829,-10.812,0.031
349793,2267,35.67942925,139.76393675,41.216,-3959594.075,3350390.765,3699381.243,-1.211,0.495,194.976,-2.906,-10.775,-0.049
349794,2267,35.67933311,139.7639049,41.249,-3959596.982,3350397.002,3699372.598,-0.977,0.255,195.113,-2.826,-10.484,0.044
349795,2267,35.67924036,139.7638744,41.207,-3959599.755,3350402.965,3699364.214,-2.116,0.335,195.202,-2.732,-10.227,0.01
349796,2267,35.67914921,139.76384413,41.201,-3959602.484,3350408.864,3699355.995,-2.454,0.339,195.111,-2.666,-10.021,-0.046
349797,2267,35.67905979,139.76381531,41.175,-3959605.2,3350414.58,3699347.921,-2.544,0.349,194.062,-2.491,-9.846,-0.03
349798,2267,35.67897175,139.76378939,41.157,-3959608.022,3350420.042,3699339.976,-2.068,0.12,192.611,-2.19,-9.716,-0.001
349799,2267,35.67888546,139.76376678,41.11,-3959610.934,3350425.187,3699332.171,-2.071,0.438,191.429,-1.93,-9.4,-0.011
349800,2267,35.67880233,139.76374616,41.095,-3959613.826,3350430.079,3699324.67,-1.93,-0.092,191.661,-1.881,-9.079,-0.048
349801,2267,35.67872153,139.76372534,41.042,-3959616.567,3350434.867,3699317.357,-2.651,0.029,192.301,-1.909,-8.842,-0.045
349802,2267,35.67864389,139.76370409,41.016,-3959619.144,3350439.568,3699310.344,-2.56,0.311,192.846,-1.892,-8.288,-0.001
349803,2267,35.67857339,139.76368367,41.029,-3959621.44,3350443.933,3699303.998,-1.283,0.275,193.177,-1.737,-7.349,0.025
349804,2267,35.67851152,139.7636657,41.007,-3959623.432,3350447.749,3699298.409,-1.407,-0.005,193.542,-1.523,-6.367,-0.081
